gene,PT_seg01,PT_seg02,PT_seg03,PT_seg04,PT_seg05,PT_seg06,PT_seg07,PT_seg08,PT_seg09,PT_seg10,PT_seg11,PT_seg12,PT_seg13,PT_seg14,PT_seg15,PT_seg16
ACAP3,0.13446533963421953,0.14359953702463243,0.14008626029746685,0.14074016499416914,0.1386913081830031,0.11551984061187591,0.12337846940990127,0.13117302592520927,0.11965738856914254,0.09322610181403901,0.11979554639152297,0.2119205611888037,0.242973024739561,0.2563159978038523,0.29274867551393075,0.32099147764296315
PUSL1,0.027084560611684374,0.02772471218029774,0.02870130577457163,0.030273617579838326,0.024152819096119552,0.020764376874738717,0.02644091929767762,0.025751048828387597,0.02728308872189431,0.022627198039167625,0.03673605988179887,0.05016248695482147,0.061546727795024576,0.0587887459645555,0.0622783601371296,0.0800594293993283
INTS11,0.10288648091214646,0.11415632990135632,0.10844277270452306,0.1022985318735913,0.10032596359820263,0.09580401356677128,0.09764545073474533,0.10264598639302995,0.11344740023511296,0.1284027272636636,0.1318558684283203,0.15955486858247586,0.19173026118185305,0.2023345214960504,0.21709277805262742,0.18725792854245193
RP5-890O3.9,0.0052702657738816425,0.00542126113523976,0.005095402858544068,0.005174789599290139,0.005591397576423794,0.0039233592891068075,0.004228415177708523,0.004753728393183651,0.007458901659534646,0.004043452902429954,0.009863478059952076,0.013235839724003511,0.008205377251967806,0.009321411939452934,0.008657290855228988,0.007093658381038242
CPTP,0.022066826114769487,0.022823190576581793,0.021285052347382816,0.01809704029038471,0.020032373267139966,0.01680189949916665,0.016210416555071164,0.019219028674061486,0.022046965524812424,0.033686401713394806,0.025850078286407712,0.04345818337042378,0.04826151949026977,0.0552968632267869,0.054832473165992414,0.059726034737879935
TAS1R3,0.0022117287119672135,0.0028124842512706593,0.002622695044197338,0.0020989460489331305,0.0029710052470642324,0.0027742415503510553,0.003340506923834016,0.002970112406848469,0.003402679038545599,0.005935155382831675,0.007651206809323984,0.0017914613804237026,0.003893255997236668,0.006184597736228794,0.004697761423940365,0.005630749230291329
DVL1,0.07280496091966343,0.07063953664758596,0.07166387765662999,0.07317583537532553,0.07231412363014104,0.06637308772783931,0.06783016698062629,0.07548326447871688,0.08935100304609084,0.10986956681856853,0.1070326353078122,0.14368037533340078,0.14948970383745672,0.17099056825109968,0.17172139177908835,0.17572876401976043
MXRA8,0.0040731832363588944,0.0037036280604478356,0.0050039465013518875,0.005490509360107849,0.005093171459330869,0.004683656884891229,0.00498063862532198,0.0037842022746196902,0.005005325062547139,0.006562491996438791,0.005606419999491085,0.005996557788153448,0.006935756568847827,0.01162137878841339,0.013468597608987968,0.01367735548151864
AURKAIP1,0.03197768013926801,0.03649382703273556,0.03727265641165473,0.033317186012369195,0.027728178215663063,0.0280577705295107,0.024699883319928374,0.02655253324614175,0.034030702520825504,0.04021365038671008,0.04615490573582116,0.04889544367253024,0.05445440870192976,0.04509306774907308,0.0516057226877785,0.040003208475175245
CCNL2,0.1365296117493854,0.15007609640282474,0.1387143632779214,0.13941742286646386,0.1471378417552933,0.14145120136306746,0.15440670860649106,0.18018438418492555,0.17655813107751095,0.16197463774558865,0.19284810323815246,0.2729054490887987,0.3284733494202074,0.31496364514192127,0.35539295467415805,0.3714327600072412
MRPL20-AS1,0.027462977085828188,0.026086281974508217,0.025738619706724898,0.022295442750978618,0.02218425640313938,0.020209108906538844,0.0249792891826675,0.027237595199219786,0.02993427058263971,0.03400919841138723,0.02922809547321363,0.043116373685675044,0.04509484815464392,0.05056918184837706,0.04774462928883677,0.051218367285198636
MRPL20,0.06522104715310807,0.07137393872715668,0.07379522795350843,0.06655576192916395,0.06829150931448262,0.06270674916119678,0.06624344939000958,0.074625817840643,0.07677356897328283,0.09142565247875802,0.09501429114464696,0.13985830364731286,0.12747900475055798,0.13550727672073606,0.1460904276388456,0.1477845593020807
