"","PT_seg01","PT_seg02","PT_seg03","PT_seg04","PT_seg05","PT_seg06","PT_seg07","PT_seg08","PT_seg09","PT_seg10","PT_seg11","PT_seg12","PT_seg13","PT_seg14","PT_seg15","PT_seg16"
"BC11A",0,0.000129811943767714,0.0315424834874274,-0.0193948891685603,-0.00599728125634205,0.0066622137994686,0.000219646915853885,-0.00862659108359136,-0.0167836975463521,-0.0258694884461063,-0.0153317595740955,-0.0596514557758656,-0.0530523680173442,-0.0326804008698695,-0.0591874358253889,-0.0244771385157307
"BCL6",0,0.00399582782469706,-0.0137236361933697,0.00591817204676843,-0.0204453560831595,0.00635420010364202,0.0397043044666028,-0.00871596976299326,-0.00587974422261093,0.0331244107586605,0.0374226778017562,0.0290990923698757,0.0272081265633289,0.0146510165491902,0.0338569751454168,0.0104074314793648
"BHA15",0,0.00513490589023529,0.00844250397868349,0.00935561040383458,0.0223150141055624,-0.00272930867919995,0.00777293437838766,-0.0269064047591895,0.0125924573207806,0.0058114224334554,-0.00222356151131515,0.00913768048433378,-0.0056614841244601,0.0124271199324615,0.00610770851330554,0.0253424587452744
"BHE40",0,0.0249546604714151,0.0261414074885044,0.0139283973193008,-0.0339083364822969,0.00693419290553904,-0.0237264124609105,-0.0569243931476086,-0.0193499628058716,-0.0221615346106874,-0.0408401572846369,0.0230937183215752,-0.00242406885285965,-0.0703806028425993,0.00274272239708693,-0.0342824619125379
"BMAL1",0,-0.0155185864856007,0.0378560890904349,0.00583513554690485,0.0363501245720744,0.00286326589340646,-0.0310310916255229,0.0098840446832625,-0.0164491302272132,-0.0077278952821085,0.0231418141775716,-0.0541624285709661,-0.0384227871238693,0.0170120937999933,0.00514842122649289,0.0267702521706065
"BRAC",0,-0.0138948963027948,-0.00818885344636949,-0.00892780254751978,0.0278654410032028,0.0149600269255261,0.0387228468862556,0.0331255901883081,0.0113848864533983,0.0488669221024944,0.00799172983052361,0.00863728404145622,0.0247136677267956,0.021844134730563,0.00990186447147797,-0.00682390131445462
"CDX1",0,0.00238420509084913,-0.0212413382585401,0.0247429001843863,0.0148482982046162,0.0503858977271521,0.0537988421375752,0.0778199648253418,0.0114415340400442,0.0185222348254489,0.0432897614310288,0.0549438645770035,0.0148142222647743,0.0276795791884523,0.0336016138919459,0.0342185660515818
"CDX2",0,-0.0267862094247175,0.00469113051178273,-0.00912606835800314,-0.004313804053669,0.0356356247378968,0.0359671598866095,0.0263595271870206,0.0360143328548721,0.0366882927883385,-0.00476009548665939,-0.00188484183412839,0.0312376749036707,0.0229267556111575,0.0124497059580409,0.0289444340497714
"CEBPD",0,-0.0321934841195194,0.026492434598388,-0.0362266447399113,0.00480206327474269,0.0340745656521901,0.0154716559918277,-0.00362381030255982,-0.00400468749582735,0.0185009203833817,-0.00658466213953258,0.0392912291953693,-0.0368003481541193,0.0174920789936618,0.0300823230605785,0.00789521664538558
"CEBPE",0,0.0170453051301934,0.0457373208738857,0.0168101861246191,-0.00745570255138983,-0.020395915233175,0.00175930539710792,-0.00502117620923326,-0.0288250276082595,0.0370277466094009,0.041720932545269,0.0135647935481277,0.0303385118167976,0.0107710056855282,0.0250923703727585,0.00814343983681157
"CLOCK",0,0.0148447026663764,-0.00588274389372146,0.0310541745708658,-0.00434837901395524,-0.00522846697663954,0.0395646660856639,0.030589760187691,0.0465562074759915,0.0152937022685985,0.0143191815817832,0.023780871558031,0.0121639932968593,0.0257964718079971,-0.00202059833718687,0.00713787763925664
"COE1",0,-0.0124248439771497,0.0145609629945454,0.0129689700885914,-0.00945749007872926,0.0379037704240409,0.0377360823638769,0.0280572811107111,0.00388324220530534,-0.0152023528254883,-0.0180062202782554,-0.052011600743576,-0.0347642639872739,-0.0512320695445857,-0.0382164987829915,-0.046844513006032
"COT1",0,0.00667139868410864,0.0171551408239161,-0.00681122831694651,0.00852881983190532,0.0166178494846399,-0.0106769050297401,-0.0145829934009563,0.000534477924154342,-0.0196946536023025,-0.00186601506856877,0.00648819359458271,-0.00611979251414414,0.0117083461130871,0.00602332500240765,0.00686527584847898
