"","PT_seg01","PT_seg02","PT_seg03","PT_seg04","PT_seg05","PT_seg06","PT_seg07","PT_seg08","PT_seg09","PT_seg10","PT_seg11","PT_seg12","PT_seg13","PT_seg14","PT_seg15","PT_seg16"
"SMAD2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SMAD3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SMAD4",0,0,0,0,0,0,0,0,0,0,0,0,-0.0608826565837328,0,0,0
"SMCA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SMCA5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SNAI1",0,0,0,0,0,0,0.0742442850372302,0.0427863376147537,0.0518433537883965,0,0.0937560365217668,0.0744315595264835,0.0891787973018983,0.0900282959012023,0.0862662315217364,0.0654594472978384
"SNAI2",0,0,0,0,0,0,0,0,0.0516517999654442,0.0510877366485079,0.0669766426979076,0.107768970853539,0.133512404576861,0.11215043935639,0.0947952135882622,0.0713731807119448
"SOX10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SOX17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SOX3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SOX5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0694733119617947
"SOX9",0,0,0,0,0,0,0,0,0,0,0.0646098456253823,0,0,0,0,0
"SRBP1",0,0,0,0,0,0,0,0,0.0585761713303928,0,0,0,0,0,0,0
"SRBP2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STAT1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STAT3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STAT4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STAT6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STF1",0,0,0,0,0,0,0,0,0,0,0,0,0.0832810493511628,0,0,0
"SUH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAF1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TBX21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TBX3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCF7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TF65",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TFAP4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TFEB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TGIF1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"THAP1",0,0,0,0,0,0,0,-0.051113682786717,0,0,0,0,0,0,0,0
"THRA",0,0,0,0,0,0,0,0,0,0,0,0.0564196444740704,0,0.0489315403692616,0,0
"THRB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TWIST1",0,0,0,0,0,0,0,0,0,0,-0.0548938105555989,-0.0615865877529779,-0.0590894966658435,-0.0506509887587004,-0.0495103550873776,0
"TYY1",0,0,0,0,0,0,0,-0.0919002153971045,0,0,0,0,0,0,-0.0642806483080787,-0.0809746378192824
"VDR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Z324A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Z354A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZBT14",0,0,0,0,0,0,0,0,0,0,0,0,-0.0858902568994871,0,0,0
"ZBT18",0,0,0,0,0,0,0,0,-0.0512768674025827,0,0,0,0,0,0,0
"ZBT48",0,0,0,0,0,0,0,0,0,0,0,-0.0632870001149788,0,0,-0.0647127060172193,0
"ZBT7A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZBTB6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZEB1",0,0,0,0,0,0.101135555333117,0.101535834874566,0.0883832827480822,0.116344766472577,0.112217706522938,0.147801278614032,0.241309782924677,0.232369968828177,0.224090502222262,0.232912242191657,0.241825231091723
"ZFP28",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0345548071970374,0,-0.0419845518842789
"ZFP42",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZFP82",0,0,0,0,0,0,0,0,0,0,0,-0.0436027512817093,0,-0.0370306254518366,0,0
